~Группа производителя:~|~LEGRAND~|~000000097~||||
~002633~|~Scs Din Диммер Dali 8х16 Пра~|49052,09|~шт~|~Автоматизация_Legrand~|~30раб.дн.~|1
~002638~|~KNX. Роутер IP/KNX. DIN 2 модуля.~|71613,98|~шт~|~Автоматизация_Legrand~|~3-5раб.дн.~|1
~002650~|~KNX. Модуль сценариев. DIN 1 модуль.~|26041,45|~шт~|~Автоматизация_Legrand~|~30раб.дн.~|1
~002655~|~KNX. Интерфейс сухих контактов 8-канальный.DIN 6 модулей.~|41666,32|~шт~|~Автоматизация_Legrand~|~30раб.дн.~|1
~002663~|~KNX. Контроллер DALI 8 выходов. DIN 6 модулей.~|80728,49|~шт~|~Автоматизация_Legrand~|~30раб.дн.~|1
~002680~|~KNX. Релейный активатор 4-канальный 16А. DIN 4 модуля.~|33853,88|~шт~|~Автоматизация_Legrand~|~30раб.дн.~|1
~002681~|~KNX. Релейный активатор 8-канальный 16А. DIN 4 модуля.~|48957,92|~шт~|~Автоматизация_Legrand~|~3-5раб.дн.~|1
~002682~|~KNX. Релейный активатор 12-канальный 16А. DIN 4 модуля.~|50164,04|~шт~|~Автоматизация_Legrand~|~30раб.дн.~|1
~002686~|~KNX. Светорегулятор универсальный 500ВА 2-канальный. DIN 8 модулей.~|52082,89|~шт~|~Автоматизация_Legrand~|~3-5раб.дн.~|1
~002687~|~KNX. Светорегулятор универсальный 500ВА 4-канальный. DIN 12 модулей.~|67707,76|~шт~|~Автоматизация_Legrand~|~30раб.дн.~|1
~002688~|~KNX. Контроллер освещения 4 канала 1-10В/4 канала реле 16А. DIN 8 модулей.~|57291,18|~шт~|~Автоматизация_Legrand~|~3-5раб.дн.~|1
~002691~|~KNX. Активатор для приводов жалюзи/рольставень 4-канальный 6А.DIN 4 модуля.~|36458,03|~шт~|~Автоматизация_Legrand~|~3-5раб.дн.~|1
~002692~|~KNX. Интерфейс сухих контактов 4-канальный.Для установки в монтажную коробку.~|12499,90|~шт~|~Автоматизация_Legrand~|~30раб.дн.~|1
~002693~|~KNX.Бинарный ввод 220В 4-канальный. DIN 2 модуля.~|26041,45|~шт~|~Автоматизация_Legrand~|~30раб.дн.~|1
~002694~|~KNX. Системный блок питания 640мА. DIN 6 модулей.~|43619,42|~шт~|~Автоматизация_Legrand~|~3-5раб.дн.~|1
~002697~|~KNX. Контроллер управления фанкоилами ON-OFF (3 скорости вентилятора, 2 клапана ON-OFF, доп.бинарный вход). DIN 4 модуля~|36458,03|~шт~|~Автоматизация_Legrand~|~30раб.дн.~|1
~002698~|~KNX контроллер DALI 64 балласта/8 групп. DIN 6 модулей~|80728,49|~шт~|~Автоматизация_Legrand~|~30раб.дн.~|1
